For Sale/Trade:  BSA rolling block 22 target rifle,650                                                                    ,Sell/Trade,alabama,  7565312," Saturday, November 11, 2017",Rifles,N/A,Lever Action                                                                                ,This gun is in really good condition for it's age and shoots great.  It has the sites with the wheel for adjusting it and these are for sale out there up to a couple thousand dollars.  I have no idea how high this one is valued at but the cheapest one I could find in the whole internet was $750 so no I won't go less.
For Sale:  Marlin 357,650                                                                    ,Sell/Trade,alabama,  7565289," Saturday, November 11, 2017",Rifles,Marlin                                                                                ,Lever Action                                                                                ,"a Hard Chromed , 1894 357 mag carbine"
For Sale:  Akai Custom 9mm major USPSA open pistol,"6,350                                                                    ",Sell/Trade,alabama,  7565151," Saturday, November 11, 2017",Handguns,N/A,Single Action                                                                                ,"For sale is a custom USPSA open pistol I had built by Shay Akai at Akai Custom. Particulars:9mm MajorV6 Katana modelPhoenix Trinity safetiesC-More aluminum click siteStroked slideI ordered this gun well over 2 years ago. It took about 18-20 months to get it made and delivered and it has now sat comfortably in my safe for about 8 months. Mainly selling because I am fully dedicated to USPSA Production class at this time.I have put about 100 rounds through it and it shoots amazingly flat!I have load data for CFE Pistol with 124 grain Precision Delta JHP that I can give the purchaser.Includes one 126mm mag with Dawson Precision hi-cap extended toolless base pad. This magazine came with the gun from Akai.Also includes a hard case (Pelican type but not branded) that came with the gun.Finally, I have also included in the listed price two MBX 141.25mm magazines (nearly brand new) and a Double Alpha belt with Alpha-X holster and 3 race master pouches. Belt size is 34.I would really like to sell everything together but would consider separating the MBX magazines and Double Alpha rig.If you are looking at this you know the wait time for an Akai gun! Avoid the wait, save dollars, and have it now!Email for more pictures and if you have questions.Price for everything is $6350."
For Sale:  Ruger New Model Super Blackhawk: NIB,700                                                                    ,Sell/Trade,alabama,  7543556," Saturday, November 11, 2017",Handguns,Ruger                                                                                ,Single Action                                                                                ,"Purchased new January 2006. Ruger New Model Suoer Blackhawk w/ 7 1/2"" barrel. Serial number indicates it was manufactured in 2001 as does the test round envelope. Blue. Never fired except for factory test fire. Includes firearm, hard case, manual, fired brass case, lock. Every item it sold with is included. Buy now and I'll include a full length leather holster and one (1) 50-round box of CCI Blazer 240gr FMJ .44 Remigton Magnum ammunition. Cash money only. Transaction is limited to Cullman, Alabama area only. Buying individual must be legally eligible for handgun purchase and will be required to show current photo ID."
For Sale:  Dan Wesson Valor Stainless 1911,"1,100                                                                    ",Sell/Trade,alabama,  7543793," Saturday, November 11, 2017",Handguns,Dan Wesson                                                                                ,Single Action                                                                                ,"Stainless 5"" (full size) Dan Wesson Valor 1911. Has the Heine night sights (factory) and Slim Line G10 grips (factory). Includes firearm, factory hard case, DW barrel bushing wrench, manual, small plastic oiler (empty), two factory magazines. Purchased new March / April 2016. Fired between 100 / 150 rounds. Excellent condition (like new) and superb firearm. Will sell in Cullman, Alabama area. Local pickup only. Cash money only. Purchaser must be legally eligible for handgun purchase and current photo ID will be required. Price is firm"
For Sale:  S&W M&P 9mm Competition Setup,750                                                                    ,Sell/Trade,alabama,  7565115," Saturday, November 11, 2017",Handguns,Smith & Wesson                                                                                ,Striker Fire                                                                                ,"Selling my Smith and Wesson M&P in 9mm.I used this gun to get started in IDPA, which morphed into 3Gun and USPSA competitions. Included is everything you need to get started shooting those sports! Gun is classified as ESP category in IDPA and Limited in USPSA.Gun has an Apex Tactical competition trigger and Dawson Precision fiber optic sights. Also has an IDPA compliant aluminum magwell.I am also including:1. 5 magazines -- 3 with short aluminum base plate (for IDPA) and 2 with extended base plate (for USPSA).2. Safariland ELS inner and outer belt (size 34) with 4 M&P mag pouches and 1 AR mag pounch (you would need a shotgun shell holder for 3Gun).3. Comp-Tac Holster for IDPAAsking only $750 for everything!Total price new over $1500! Save big on a sweet rig perfect for the new competition shooter or for trainers that need a spare setup for students."
"For Sale:  Sig P226 Nite Sights, SRT",775                                                                    ,Sell/Trade,alabama,  7565080," Saturday, November 11, 2017",Handguns,Sig Sauer                                                                                ,Double / Single Action                                                                                ,Sig Sauer P226 in 9mm. Gun is in excellent condition. I am the original owner having bought the gun about 4 years ago. Grip is the new E2 style.Gun3 mags (2 15 round and 1 10 round)BoxBlade tech holster and mag pouch (originally bought this gun to shoot IDPA and these work well for that purpose).Asking $775
For Sale:  Mossberg 500 12 gauge,200                                                                    ,Sell/Trade,alabama,  7565057," Saturday, November 11, 2017",Shotguns,Mossberg                                                                                ,Pump Action                                                                                ,"Mossberg 500 w/ shorter barrel attachmentAlso has 3 different size chokes and keyThe pistol grip attachment is included as well, but I don’t have the bolt that runs up through it.Love this gun, but it needs to be gone."
For Sale:  Glock 22 .40,200                                                                    ,Sell/Trade,alabama,  7565020," Saturday, November 11, 2017",Handguns,Glock                                                                                ,Double / Single Action                                                                                ,Glock 22 .40 cal.Was bought from a reputable gun store a year ago.I’ve put 50 rounds through it with no issues.Since then I haven’t shot the gun.It comes with the carrying case and extra mag.
For Sale/Trade:  Ar15,950                                                                    ,Sell/Trade,alabama,  7541235," Saturday, November 11, 2017",Rifles,N/A,Semi-automatic                                                                                ,BCM upper on a Anderson lower.  Bushnell 1-4 in pepr mount.  Troy alpha rail.
For Sale:  Smith & Wesson M&P Shield 9mm Performance Center Battleworn ,425                                                                    ,Sell/Trade,alabama,  7495742," Saturday, November 11, 2017",Handguns,Smith & Wesson                                                                                ,Double Action                                                                                ,"Smith & Wesson M&P 9 Shield Perfomance Center Bronze/Black Battleworn. This gun was 450.00 new, it has had a Battleworn cerakote job Black/bronze for 175.00 and it comes with a IWB black kydex holster that was $50. The whole package is 425. Comes with case and 2 mags and kydex holster. 425.00 or OBO, no trades."
For Sale:  Mossberg 500 18 inch barrel wood furniture,180                                                                    ,Sell/Trade,alabama,  7442320," Saturday, November 11, 2017",Shotguns,Mossberg                                                                                ,Pump Action                                                                                ,This is a Mossberg 500 with wood furniture and a sling. the furniture has a few Niks but overall is very handsome. there is some wear on the Finish and a few spots of surface rust.Call or text 205-639-9150
For Sale:  Lionheart lh9 N Patriot Brown cerakote,500                                                                    ,Sell/Trade,alabama,  7564891," Saturday, November 11, 2017",Handguns,N/A,Double / Single Action                                                                                ,This is a Lionheart lh9 with Novak sights it has some holster wear but otherwise is in very good condition it comes with a G-Code incog eclipse holster carrying case with cleaning tools and a spare mag. The spare mag is a Smith & Wesson 5900 series mag and functions reliably but doesn't lock the slide back the other mag is the one that came with it and functions great.Call or text 205 639 9150
For Sale/Trade:  Ati Titan 3inch 1911 new sell or trade for poly frame.  Glock.   Sig.  Springfield.  Ect,400                                                                    ,Sell/Trade,alabama,  7564788," Saturday, November 11, 2017",Handguns,American Tactical Imports                                                                                ,Single Action                                                                                ,Ati Titan 3inch sell or trade for Polly frame will pay difference if needed 2564041975
For Sale:  Hornady sonic Brass case Cleaner,65                                                                    ,Sell/Trade,alabama,  7564572," Saturday, November 11, 2017",Handguns,N/A,N/A,"A brand NEW Hornady Sonic  Lock-N-Load Brass cleaner, never used, never even pluged up,just opened box for inspection,it cost me about $100 when i bought itcomes with the basket and instruction, they dont include include the liquid cleaning fluid, you have to buy it seperate. While looking for the lock-n-load cleaningfluid i descovered it was for yello brass cases  only.  will not clean Nickel plated cases,will turn the nickle cases Black and ruin them. It is for yello brass and willmake the yellow brass cases look like new.  I am a retired certified NRA Law inforcement Firearms instructor. I am a reloader of over 45 years and have Thousands of nickle plated cases,butonly a few yello brass cases. SO I HAVE NO USE FOR THE SONIC CLEANER!     Will give you a bargain in this new sonic cleaner, at the present this cleaner is onsale at midway for $99   I will sell this one for $ 65.   (face to face)  .If shipp is needed add  $ 15"
